,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_custommlp__alpha,param_custommlp__batch_size,param_custommlp__class_weight,param_custommlp__hidden_layer_size,param_custommlp__n_epochs,param_custommlp__nesterovs_momentum,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,19.414708280563353,0.5904443074204868,0.2955475807189941,0.030609452955119194,0.00012520653814999459,256,,300,287,False,"{'custommlp__alpha': 0.00012520653814999459, 'custommlp__batch_size': 256, 'custommlp__class_weight': None, 'custommlp__hidden_layer_size': 300, 'custommlp__n_epochs': 287, 'custommlp__nesterovs_momentum': False}",0.5545489763966397,0.5715420302356311,0.5820903922297815,0.5743783580869242,0.5594976906412757,0.5684114895180504,0.010041327258450677,15
1,4.5997823715209964,1.7769471783142758,0.26780190467834475,0.08534263699914818,7.035737028722141e-05,256,,400,32,True,"{'custommlp__alpha': 7.035737028722141e-05, 'custommlp__batch_size': 256, 'custommlp__class_weight': None, 'custommlp__hidden_layer_size': 400, 'custommlp__n_epochs': 32, 'custommlp__nesterovs_momentum': True}",0.562633326417974,0.6114092624255866,0.5693057362592059,0.5776471524678033,0.5640774520458736,0.5770145859232887,0.017983383069910715,3
2,17.00434527397156,0.25511839689864396,0.21465592384338378,0.05647382493487915,0.0008459126528049375,32,balanced,50,46,False,"{'custommlp__alpha': 0.0008459126528049375, 'custommlp__batch_size': 32, 'custommlp__class_weight': 'balanced', 'custommlp__hidden_layer_size': 50, 'custommlp__n_epochs': 46, 'custommlp__nesterovs_momentum': False}",0.5357659804720863,0.5522584495417922,0.5478101129344418,0.5113640441330446,0.5259784809733179,0.5346354136109366,0.01484534539295975,71
3,28.07294020652771,0.33893126922661054,0.18920435905456542,0.04240180623317498,1.3869861245357317e-05,16,,300,42,False,"{'custommlp__alpha': 1.3869861245357317e-05, 'custommlp__batch_size': 16, 'custommlp__class_weight': None, 'custommlp__hidden_layer_size': 300, 'custommlp__n_epochs': 42, 'custommlp__nesterovs_momentum': False}",0.5236375285445332,0.5609796445886509,0.5635838516592157,0.5386715123341188,0.5297167962807668,0.5433178666814571,0.01622678020995539,55
4,281.0792480945587,2.8374278339649597,0.1673649311065674,0.011618028627517391,0.00036000911929116066,8,,300,228,False,"{'custommlp__alpha': 0.00036000911929116066, 'custommlp__batch_size': 8, 'custommlp__class_weight': None, 'custommlp__hidden_layer_size': 300, 'custommlp__n_epochs': 228, 'custommlp__nesterovs_momentum': False}",0.4970600325480502,0.5143837787483797,0.5358782902765762,0.49861018885614505,0.5140404445019844,0.5119945469862272,0.01401790342865839,91
5,18.475076580047606,0.24922215819622548,0.17192835807800294,0.011224079928003849,0.00010988918668982819,64,,50,97,False,"{'custommlp__alpha': 0.00010988918668982819, 'custommlp__batch_size': 64, 'custommlp__class_weight': None, 'custommlp__hidden_layer_size': 50, 'custommlp__n_epochs': 97, 'custommlp__nesterovs_momentum': False}",0.4713585389127678,0.5376904438939387,0.5608854786721794,0.5269885657143163,0.5255931656041255,0.5245032385594657,0.029425477643429204,82
6,9.067033290863037,0.08863003596815715,0.1643613338470459,0.008427163666757416,0.0007750644796341915,32,,300,21,True,"{'custommlp__alpha': 0.0007750644796341915, 'custommlp__batch_size': 32, 'custommlp__class_weight': None, 'custommlp__hidden_layer_size': 300, 'custommlp__n_epochs': 21, 'custommlp__nesterovs_momentum': True}",0.5182315276674881,0.5787559757142273,0.5581736916357725,0.5255015827821169,0.537403098920714,0.5436131753440637,0.02217136858937631,54
7,13.413736295700073,0.17429499577182914,0.16201348304748536,0.005549829018133065,8.17147891511587e-05,32,,50,36,False,"{'custommlp__alpha': 8.17147891511587e-05, 'custommlp__batch_size': 32, 'custommlp__class_weight': None, 'custommlp__hidden_layer_size': 50, 'custommlp__n_epochs': 36, 'custommlp__nesterovs_momentum': False}",0.5515759006593306,0.5491010572260716,0.5045646564870091,0.5120670551292235,0.5326486594681703,0.529991465793961,0.019004905264652535,76
8,14.836691427230836,0.20442725879572624,0.1733102321624756,0.012398204648441517,0.000167568138614885,128,balanced,400,144,True,"{'custommlp__alpha': 0.000167568138614885, 'custommlp__batch_size': 128, 'custommlp__class_weight': 'balanced', 'custommlp__hidden_layer_size': 400, 'custommlp__n_epochs': 144, 'custommlp__nesterovs_momentum': True}",0.5599235252227762,0.5942566951623831,0.5970824276709541,0.5531297864119231,0.5734985671036339,0.5755782003143342,0.017689787885902114,4
9,275.4246522903442,0.4956208475894932,0.15513215065002442,0.013222027131910166,0.00016831658680991382,16,balanced,100,444,True,"{'custommlp__alpha': 0.00016831658680991382, 'custommlp__batch_size': 16, 'custommlp__class_weight': 'balanced', 'custommlp__hidden_layer_size': 100, 'custommlp__n_epochs': 444, 'custommlp__nesterovs_momentum': True}",0.5319210023099641,0.5055712167113912,0.5341597634969066,0.5400686601759576,0.5379444881445953,0.5299330261677629,0.012507835283008847,77
10,8.120080995559693,0.10637342223745137,0.15948004722595216,0.012353404280835194,0.00021941976179005762,512,,300,189,False,"{'custommlp__alpha': 0.00021941976179005762, 'custommlp__batch_size': 512, 'custommlp__class_weight': None, 'custommlp__hidden_layer_size': 300, 'custommlp__n_epochs': 189, 'custommlp__nesterovs_momentum': False}",0.555723072075327,0.5743262245224459,0.5735224312867985,0.5496270116583573,0.5878773822158363,0.568215224351753,0.01381076927648905,16
