,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svc__C,param_svc__gamma,param_svc__tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,32.12719249725342,2.7717227674382676,1.1385146141052247,0.19567369952762245,6.481116655106079,scale,0.07161893663724195,"{'svc__C': 6.481116655106079, 'svc__gamma': 'scale', 'svc__tol': 0.07161893663724195}",0.5609210550580588,0.5756694371983577,0.5777764241069103,0.591199869353657,0.5446968018404091,0.5700527175114786,0.015904181420815233,1
1,31.818178749084474,3.3384212112478724,0.8374193191528321,0.8473114585456761,9.76652316956337,scale,0.05458831829968969,"{'svc__C': 9.76652316956337, 'svc__gamma': 'scale', 'svc__tol': 0.05458831829968969}",0.5571034037664152,0.5651809615615161,0.5740574153956397,0.5907701440028721,0.5463344651305366,0.566689277971396,0.015117274664309585,10
2,32.172514009475705,3.509414311901747,1.3183899879455567,0.2734058181207088,2.5032095119911015,scale,0.06468941130666561,"{'svc__C': 2.5032095119911015, 'svc__gamma': 'scale', 'svc__tol': 0.06468941130666561}",0.5507951828755402,0.5702097450103081,0.5824622507943814,0.5760169203675453,0.5553276047852175,0.5669623407665985,0.012079092122938385,9
3,30.717310762405397,1.844561156816209,0.7213273525238038,0.8566410562890082,2.782841748684008,scale,0.08927730007820799,"{'svc__C': 2.782841748684008, 'svc__gamma': 'scale', 'svc__tol': 0.08927730007820799}",0.5532848094315568,0.5706786364767636,0.5823950502718044,0.5755299559273632,0.5501358744289397,0.5664048653072855,0.012601859739063597,11
4,30.836397552490233,1.333249153386247,1.1284190654754638,0.11077938804673189,151.7328719620278,scale,0.03844415188257778,"{'svc__C': 151.7328719620278, 'svc__gamma': 'scale', 'svc__tol': 0.03844415188257778}",0.5338437820992958,0.5488461642938504,0.5579615425532314,0.5749252997079435,0.5375710417939251,0.5506295660896492,0.014829084083865166,32
5,32.36056270599365,2.7231368724241176,0.4329491138458252,1.230929692630807,41.06842985331807,scale,0.05298949197529045,"{'svc__C': 41.06842985331807, 'svc__gamma': 'scale', 'svc__tol': 0.05298949197529045}",0.5323496662563892,0.5553366434281608,0.561675542448896,0.5761073919437945,0.5412665861307296,0.5533471660415941,0.015350460352608414,26
6,31.960421562194824,1.7822288860503734,0.4356251239776611,0.9148651615852802,7.5012240099596275,scale,0.09265966382926612,"{'svc__C': 7.5012240099596275, 'svc__gamma': 'scale', 'svc__tol': 0.09265966382926612}",0.5580143024885889,0.5647936652972709,0.579145354560034,0.5856211113449894,0.548112723860699,0.5671374315103165,0.013685765309697149,8
7,30.205790281295776,1.4960113408444355,0.9079066753387451,0.8313665367288208,0.17159007295374415,scale,0.00881292997015407,"{'svc__C': 0.17159007295374415, 'svc__gamma': 'scale', 'svc__tol': 0.00881292997015407}",0.4393042625276732,0.47774449321151613,0.48002162254164604,0.4999029020929992,0.4503297654929875,0.4694606091733644,0.021827896642899542,47
8,31.26951971054077,2.205296198374302,0.5537816047668457,1.0590669423871648,0.11661154151136498,scale,0.08336198455479381,"{'svc__C': 0.11661154151136498, 'svc__gamma': 'scale', 'svc__tol': 0.08336198455479381}",0.4122792055553968,0.4470962266012683,0.447643456564058,0.4479026546003534,0.4373984819092126,0.4384640050460578,0.013672196227963037,49
9,30.07596173286438,1.8482701264831853,1.3008289813995362,0.24299859061268125,37.04407682570262,scale,0.08710121482468193,"{'svc__C': 37.04407682570262, 'svc__gamma': 'scale', 'svc__tol': 0.08710121482468193}",0.5313752189568512,0.5616196299156568,0.5628884166208931,0.5773330224272664,0.5427521741532341,0.5551936924147803,0.016203471487885146,23
10,31.044923257827758,3.7301898939599174,1.3418498516082764,0.24398683810179894,169.99983584564896,scale,0.08001585642167237,"{'svc__C': 169.99983584564896, 'svc__gamma': 'scale', 'svc__tol': 0.08001585642167237}",0.5335180978446039,0.5511020900296137,0.5601452029882308,0.5709256051177369,0.5368752239114551,0.5505132439783281,0.01403293586372629,33
11,35.45377445220947,2.9955607787766585,1.578370714187622,0.12846426296659325,3.3370077645838103,scale,0.07815291762864555,"{'svc__C': 3.3370077645838103, 'svc__gamma': 'scale', 'svc__tol': 0.07815291762864555}",0.5531062930635703,0.5677501726397448,0.5753365907960775,0.5705328069420018,0.5541913826320154,0.564183449214682,0.00894397237991682,17
12,30.43658037185669,2.7129824533630935,1.8202788829803467,0.24843084279629454,0.24571260005225265,scale,0.06409210213275239,"{'svc__C': 0.24571260005225265, 'svc__gamma': 'scale', 'svc__tol': 0.06409210213275239}",0.45598244722510284,0.5086498708773729,0.491780215542711,0.5102098532301991,0.4856592577423216,0.49045632892354146,0.01966936591970156,46
13,31.370323801040648,1.7797761678217838,1.2294312477111817,0.9187819068591705,0.2973127279336616,scale,0.0945668917049584,"{'svc__C': 0.2973127279336616, 'svc__gamma': 'scale', 'svc__tol': 0.0945668917049584}",0.46486439533991974,0.5056149758501733,0.5013135817431327,0.5189082893609323,0.494415981893232,0.49702344483747807,0.01795644412025471,44
