,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_xgbclassifier__lambda,param_xgbclassifier__learning_rate,param_xgbclassifier__loss_guide,param_xgbclassifier__max_depth,param_xgbclassifier__subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,27.33868137995402,2.8167976829773815,1.0436264673868816,0.1077492812314991,1.8316240381848903,0.7436704297351775,lossguide,4,0.8782165163302302,"{'xgbclassifier__lambda': 1.8316240381848903, 'xgbclassifier__learning_rate': 0.7436704297351775, 'xgbclassifier__loss_guide': 'lossguide', 'xgbclassifier__max_depth': 4, 'xgbclassifier__subsample': 0.8782165163302302}",0.5248274336210597,0.5252806790200724,0.5204371758206399,0.523515096153924,0.002184269982009903,37
1,16.49950710932414,0.4646100370069176,0.0,0.0,0.9437183529913976,0.6813047017599905,depthwise,1,1.2969960938343625,"{'xgbclassifier__lambda': 0.9437183529913976, 'xgbclassifier__learning_rate': 0.6813047017599905, 'xgbclassifier__loss_guide': 'depthwise', 'xgbclassifier__max_depth': 1, 'xgbclassifier__subsample': 1.2969960938343625}",,,,,,66
2,19.301353613535564,0.52313287837706,1.0339304606119792,0.20512339954093162,0.7626239435868422,0.8125525342743981,lossguide,1,0.726118129434163,"{'xgbclassifier__lambda': 0.7626239435868422, 'xgbclassifier__learning_rate': 0.8125525342743981, 'xgbclassifier__loss_guide': 'lossguide', 'xgbclassifier__max_depth': 1, 'xgbclassifier__subsample': 0.726118129434163}",0.5206521063596169,0.5181568621571515,0.48715167583520697,0.5086535481173252,0.015238207345023127,50
3,28.664817969004314,2.483214476591928,1.066906213760376,0.06934724358521788,8.39155245452378,0.40365654437554155,depthwise,4,0.7015748731738813,"{'xgbclassifier__lambda': 8.39155245452378, 'xgbclassifier__learning_rate': 0.40365654437554155, 'xgbclassifier__loss_guide': 'depthwise', 'xgbclassifier__max_depth': 4, 'xgbclassifier__subsample': 0.7015748731738813}",0.5286562796429225,0.5643606620909312,0.5423258910695714,0.5451142776011416,0.0147090007837718,9
4,25.43601934115092,1.184980235950928,0.5592106183369955,0.6733354137754568,15.938326942613303,0.22631570237138066,depthwise,3,0.8069413786070438,"{'xgbclassifier__lambda': 15.938326942613303, 'xgbclassifier__learning_rate': 0.22631570237138066, 'xgbclassifier__loss_guide': 'depthwise', 'xgbclassifier__max_depth': 3, 'xgbclassifier__subsample': 0.8069413786070438}",0.5251904604736257,0.5530243863653066,0.5385168785487583,0.5389105751292301,0.011366562229745112,17
5,19.365652561187744,0.5397973118836374,0.9299648602803549,0.11296121525304242,6.964976639728539,0.5684297315960843,lossguide,1,0.9153531254084404,"{'xgbclassifier__lambda': 6.964976639728539, 'xgbclassifier__learning_rate': 0.5684297315960843, 'xgbclassifier__loss_guide': 'lossguide', 'xgbclassifier__max_depth': 1, 'xgbclassifier__subsample': 0.9153531254084404}",0.5147370928027634,0.5274077952438511,0.4889063748804123,0.5103504209756756,0.016021277722443137,49
6,33.828540086746216,4.0237608381266226,1.0181083679199219,0.08753030424080316,1.7238994052457324,0.7827540618901214,depthwise,5,0.8069337526799907,"{'xgbclassifier__lambda': 1.7238994052457324, 'xgbclassifier__learning_rate': 0.7827540618901214, 'xgbclassifier__loss_guide': 'depthwise', 'xgbclassifier__max_depth': 5, 'xgbclassifier__subsample': 0.8069337526799907}",0.5509505571078294,0.49943636353701326,0.5210567100008109,0.5238145435485512,0.02112079968846917,36
7,25.199134906133015,1.6321844301703263,0.4540572166442871,0.768097967071981,0.2683838083158824,0.7632263594160623,depthwise,3,0.4685515067387854,"{'xgbclassifier__lambda': 0.2683838083158824, 'xgbclassifier__learning_rate': 0.7632263594160623, 'xgbclassifier__loss_guide': 'depthwise', 'xgbclassifier__max_depth': 3, 'xgbclassifier__subsample': 0.4685515067387854}",0.5030494347150949,0.5164405288485903,0.4965361835807503,0.5053420490481452,0.008286044512529341,54
8,37.518269300460815,1.6080185130704303,0.9764268398284912,0.09003103290226741,0.5570038304252913,0.23470738046531486,depthwise,5,0.7198223144591953,"{'xgbclassifier__lambda': 0.5570038304252913, 'xgbclassifier__learning_rate': 0.23470738046531486, 'xgbclassifier__loss_guide': 'depthwise', 'xgbclassifier__max_depth': 5, 'xgbclassifier__subsample': 0.7198223144591953}",0.5223111707453866,0.5464749741060734,0.5362214333576247,0.5350025260696949,0.009902412145395383,24
9,16.23145906130473,0.3388216305023918,0.0,0.0,11.93730158985011,0.5049549909201049,lossguide,1,1.2356819165073176,"{'xgbclassifier__lambda': 11.93730158985011, 'xgbclassifier__learning_rate': 0.5049549909201049, 'xgbclassifier__loss_guide': 'lossguide', 'xgbclassifier__max_depth': 1, 'xgbclassifier__subsample': 1.2356819165073176}",,,,,,66
10,27.45870550473531,1.1916250456535946,0.9937075773874918,0.023835874654173878,0.1692181973014392,0.9728281609720739,depthwise,4,0.5437158944071743,"{'xgbclassifier__lambda': 0.1692181973014392, 'xgbclassifier__learning_rate': 0.9728281609720739, 'xgbclassifier__loss_guide': 'depthwise', 'xgbclassifier__max_depth': 4, 'xgbclassifier__subsample': 0.5437158944071743}",0.49459462650116953,0.5226464483478277,0.4913303793939172,0.5028571514143049,0.014056458352815498,57
