,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_onevsrestclassifier__estimator__C,param_onevsrestclassifier__estimator__gamma,param_onevsrestclassifier__estimator__tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,85.02720746994018,5.715423497953878,14.810567235946655,3.515868405109433,1.5676677195506077,scale,0.07161893663724195,"{'onevsrestclassifier__estimator__C': 1.5676677195506077, 'onevsrestclassifier__estimator__gamma': 'scale', 'onevsrestclassifier__estimator__tol': 0.07161893663724195}",0.5584339534768461,0.5748183928067732,0.5932406560256799,0.5919334363715056,0.5581292794605741,0.5753111436282758,0.015349702524200632,8
1,78.71958780288696,0.7746760469926116,8.958772087097168,0.18420497233239727,2.57663857461359,scale,0.05458831829968969,"{'onevsrestclassifier__estimator__C': 2.57663857461359, 'onevsrestclassifier__estimator__gamma': 'scale', 'onevsrestclassifier__estimator__tol': 0.05458831829968969}",0.5572736583593145,0.5794010380131819,0.5881367850005212,0.6012846060553511,0.5546274771193455,0.5761447129095428,0.017919463214544747,6
2,98.87624897956849,4.17889342258583,19.016686296463014,1.8314570976859692,0.49501595537331966,scale,0.06468941130666561,"{'onevsrestclassifier__estimator__C': 0.49501595537331966, 'onevsrestclassifier__estimator__gamma': 'scale', 'onevsrestclassifier__estimator__tol': 0.06468941130666561}",0.5305383894227539,0.5554885143960536,0.53958222351272,0.5548275962748969,0.5073501840724888,0.5375573815357827,0.01780801424465155,29
3,93.75761756896972,7.817908606899287,18.492576932907106,2.0026305883331865,0.5627932047415171,scale,0.08927730007820799,"{'onevsrestclassifier__estimator__C': 0.5627932047415171, 'onevsrestclassifier__estimator__gamma': 'scale', 'onevsrestclassifier__estimator__tol': 0.08927730007820799}",0.5386096834749821,0.5582158701049675,0.5414833589121979,0.5535425769035547,0.509789628453753,0.5403282235698911,0.016920286888673076,24
4,88.20733585357667,5.144067075813756,13.582946395874023,1.9237837215738487,71.55682161754872,scale,0.03844415188257778,"{'onevsrestclassifier__estimator__C': 71.55682161754872, 'onevsrestclassifier__estimator__gamma': 'scale', 'onevsrestclassifier__estimator__tol': 0.03844415188257778}",0.5199082017506423,0.5293134209404554,0.548141033420511,0.5609833956640806,0.5328472034762666,0.5382386510503911,0.014560998558728833,27
5,85.47767939567566,6.309282943830801,14.213299179077149,3.0303844175733423,14.68588598920087,scale,0.05298949197529045,"{'onevsrestclassifier__estimator__C': 14.68588598920087, 'onevsrestclassifier__estimator__gamma': 'scale', 'onevsrestclassifier__estimator__tol': 0.05298949197529045}",0.5262748786228494,0.5617309617535138,0.5708718502721021,0.5801373583935419,0.549926639548546,0.5577883377181105,0.018660684405690388,17
6,81.49874835014343,6.4219789344696485,13.225797414779663,2.818066730140694,1.871450068624068,scale,0.09265966382926612,"{'onevsrestclassifier__estimator__C': 1.871450068624068, 'onevsrestclassifier__estimator__gamma': 'scale', 'onevsrestclassifier__estimator__tol': 0.09265966382926612}",0.5655501019825511,0.5764485410410399,0.5859836571878074,0.5972261933764496,0.5576664045961749,0.5765749796368046,0.014100311813971545,4
7,130.40867924690247,8.82385573000712,26.583217668533326,4.155471510507508,0.0192373050965465,scale,0.00881292997015407,"{'onevsrestclassifier__estimator__C': 0.0192373050965465, 'onevsrestclassifier__estimator__gamma': 'scale', 'onevsrestclassifier__estimator__tol': 0.00881292997015407}",0.34939306024023187,0.3865582253439744,0.34590990726749055,0.3147253853265637,0.3341952547083973,0.34615636657733156,0.02355343668930673,48
8,134.61293663978577,7.612877514530387,26.922087097167967,3.2529392696347927,0.012046852412030323,scale,0.08336198455479381,"{'onevsrestclassifier__estimator__C': 0.012046852412030323, 'onevsrestclassifier__estimator__gamma': 'scale', 'onevsrestclassifier__estimator__tol': 0.08336198455479381}",0.3497511538623587,0.2787490883164271,0.33317326296607,0.3106822668874664,0.3268844307995335,0.3198480405663712,0.024059941011912448,49
9,85.35558981895447,5.763365692293757,11.525049018859864,1.2225438676658775,12.960656597279739,scale,0.08710121482468193,"{'onevsrestclassifier__estimator__C': 12.960656597279739, 'onevsrestclassifier__estimator__gamma': 'scale', 'onevsrestclassifier__estimator__tol': 0.08710121482468193}",0.5323366804626027,0.5617208729890255,0.5740655829990863,0.5849337412620896,0.5518124384447763,0.5609738632315162,0.018166160003443767,16
10,89.21072521209717,6.373568084896366,10.496761035919189,2.2652113496804223,82.12461922256875,scale,0.08001585642167237,"{'onevsrestclassifier__estimator__C': 82.12461922256875, 'onevsrestclassifier__estimator__gamma': 'scale', 'onevsrestclassifier__estimator__tol': 0.08001585642167237}",0.5095177107118658,0.5266406463433775,0.5462516340580109,0.5623530495918634,0.5345278714811271,0.5358581824372489,0.017835666355543303,30
11,92.17069964408874,2.7388198589243777,15.848408079147339,1.6356642708077713,0.7013219779945796,scale,0.07815291762864555,"{'onevsrestclassifier__estimator__C': 0.7013219779945796, 'onevsrestclassifier__estimator__gamma': 'scale', 'onevsrestclassifier__estimator__tol': 0.07815291762864555}",0.5417819017886386,0.5623258434149769,0.5429154538170895,0.5652333039019026,0.5288848292898346,0.5482282664424885,0.013651836005556098,20
12,127.96974515914917,12.056774102774423,26.10829105377197,5.326572387004756,0.029723346443356558,scale,0.06409210213275239,"{'onevsrestclassifier__estimator__C': 0.029723346443356558, 'onevsrestclassifier__estimator__gamma': 'scale', 'onevsrestclassifier__estimator__tol': 0.06409210213275239}",0.4000647802982433,0.42658572268335426,0.4170461773857087,0.39386154276645735,0.3967582454683752,0.4068632937204278,0.012728257042779509,46
